date,open,high,low,close,volume,number of trades,Storj STORJ,sentiment
2018-04-01 00:00:00,0.00009498,0.00009508,0.00009430,0.00009506,1002.00000000,14,18.0,0.08750000000000002
2018-04-01 01:00:00,0.00009450,0.00009531,0.00009423,0.00009431,2165.00000000,18,19.0,0.2186921296296296
2018-04-01 02:00:00,0.00009491,0.00009500,0.00009399,0.00009400,14889.00000000,37,16.0,0.17545244107744107
2018-04-01 03:00:00,0.00009446,0.00009446,0.00009300,0.00009416,17616.00000000,66,22.0,-0.475
2018-04-01 04:00:00,0.00009416,0.00009443,0.00009416,0.00009416,732.00000000,13,19.0,0.0
2018-04-01 05:00:00,0.00009417,0.00009440,0.00009336,0.00009366,2225.00000000,21,17.0,0.0
2018-04-01 06:00:00,0.00009373,0.00009458,0.00009356,0.00009449,3018.00000000,28,29.0,0.0
2018-04-01 07:00:00,0.00009457,0.00009524,0.00009390,0.00009523,5383.00000000,41,19.0,0.0
2018-04-01 08:00:00,0.00009524,0.00009568,0.00009451,0.00009505,2802.00000000,29,17.0,0.0
2018-04-01 09:00:00,0.00009484,0.00009541,0.00009468,0.00009468,3779.00000000,37,14.0,0.0
2018-04-01 10:00:00,0.00009469,0.00009469,0.00009416,0.00009467,1569.00000000,20,23.0,0.0
2018-04-01 11:00:00,0.00009467,0.00009490,0.00009244,0.00009244,17735.00000000,128,18.0,0.0
2018-04-01 12:00:00,0.00009290,0.00009307,0.00009261,0.00009285,1959.00000000,32,21.0,0.0
2018-04-01 13:00:00,0.00009285,0.00009373,0.00009212,0.00009341,17348.00000000,112,27.0,0.0
2018-04-01 14:00:00,0.00009328,0.00009337,0.00009200,0.00009200,9673.00000000,69,29.0,0.10400000000000001
2018-04-01 15:00:00,0.00009203,0.00009255,0.00009200,0.00009248,4587.00000000,18,28.0,0.0
2018-04-01 16:00:00,0.00009202,0.00009298,0.00009168,0.00009168,4937.00000000,63,24.0,0.0
2018-04-01 17:00:00,0.00009167,0.00009248,0.00009157,0.00009169,3146.00000000,33,20.0,0.0
2018-04-01 18:00:00,0.00009208,0.00009236,0.00009172,0.00009178,7293.00000000,22,28.0,0.0
2018-04-01 19:00:00,0.00009179,0.00009237,0.00009149,0.00009194,4400.00000000,41,30.0,0.0
2018-04-01 20:00:00,0.00009195,0.00009208,0.00009142,0.00009142,5311.00000000,26,23.0,0.0
2018-04-01 21:00:00,0.00009235,0.00009235,0.00009158,0.00009234,1597.00000000,12,20.0,0.0
2018-04-01 22:00:00,0.00009180,0.00009275,0.00009158,0.00009275,5234.00000000,31,33.0,0.0
2018-04-01 23:00:00,0.00009274,0.00009274,0.00009166,0.00009166,1681.00000000,16,23.0,0.0
2018-04-02 00:00:00,0.00009166,0.00009240,0.00009142,0.00009142,3647.00000000,41,27.0,0.0
2018-04-02 01:00:00,0.00009142,0.00009254,0.00009142,0.00009143,3313.00000000,31,15.0,0.0
2018-04-02 02:00:00,0.00009149,0.00009203,0.00009143,0.00009150,4222.00000000,22,23.0,0.0
2018-04-02 03:00:00,0.00009166,0.00009166,0.00009126,0.00009128,3814.00000000,22,30.0,0.0
2018-04-02 04:00:00,0.00009128,0.00009128,0.00009121,0.00009123,1794.00000000,16,26.0,0.0
2018-04-02 05:00:00,0.00009123,0.00009165,0.00009100,0.00009160,3578.00000000,20,13.0,0.0
