date,open,high,low,close,volume,number of trades,Bluzelle BLZ,sentiment
2018-04-01 00:00:00,0.00004394,0.00004444,0.00004350,0.00004380,240796.00000000,255,0.0,0.0
2018-04-01 01:00:00,0.00004380,0.00004441,0.00004373,0.00004386,106373.00000000,123,0.0,0.0
2018-04-01 02:00:00,0.00004390,0.00004439,0.00004384,0.00004394,49467.00000000,99,0.0,0.0
2018-04-01 03:00:00,0.00004393,0.00004451,0.00004386,0.00004424,33238.00000000,83,0.0,0.0
2018-04-01 04:00:00,0.00004405,0.00004499,0.00004403,0.00004437,98459.00000000,145,0.0,0.0
2018-04-01 05:00:00,0.00004438,0.00004465,0.00004407,0.00004455,22892.00000000,49,0.0,0.0
2018-04-01 06:00:00,0.00004450,0.00004455,0.00004430,0.00004430,43595.00000000,61,0.0,0.0
2018-04-01 07:00:00,0.00004430,0.00004430,0.00004315,0.00004330,81371.00000000,238,100.0,0.0
2018-04-01 08:00:00,0.00004330,0.00004369,0.00004288,0.00004288,168566.00000000,279,47.0,0.0
2018-04-01 09:00:00,0.00004294,0.00004317,0.00004275,0.00004317,87836.00000000,137,0.0,0.0
2018-04-01 10:00:00,0.00004297,0.00004373,0.00004280,0.00004327,115671.00000000,168,0.0,0.0
2018-04-01 11:00:00,0.00004322,0.00004343,0.00004278,0.00004288,15078.00000000,70,0.0,0.0
2018-04-01 12:00:00,0.00004295,0.00004316,0.00004281,0.00004294,27889.00000000,60,0.0,0.0
2018-04-01 13:00:00,0.00004281,0.00004299,0.00004249,0.00004273,117425.00000000,134,0.0,0.0
2018-04-01 14:00:00,0.00004272,0.00004273,0.00004177,0.00004190,249107.00000000,323,0.0,0.0
2018-04-01 15:00:00,0.00004182,0.00004217,0.00004176,0.00004214,127562.00000000,242,0.0,0.0
2018-04-01 16:00:00,0.00004214,0.00004218,0.00004179,0.00004216,132576.00000000,206,0.0,0.0
2018-04-01 17:00:00,0.00004197,0.00004250,0.00004184,0.00004241,59465.00000000,120,34.0,0.0
